"","bathrm","hf_bathrm","heat","ac","rooms","bedrm","ayb","yr_rmdl","eyb","stories","saledate","price","gba","style","grade","extwall","kitchens","fireplaces","landarea"
"1",2,1,"Forced Air","Y",6,2,1870,2012,1980,2,"2013-02-20 00:00:00",874000,1443,"2 Story","Above Average","Common Brick",1,2,1600
"2",3,1,"Hot Water Rad","Y",12,7,1883,NA,1983,3,"2018-01-22 00:00:00",2246100,4725,"2.5 Story Fin","Superior","Stone",1,5,5127
"3",2,0,"Hot Water Rad","Y",11,4,1920,NA,1960,2,"2000-08-02 00:00:00",131600,2066,"2 Story","Good Quality","Common Brick",1,1,1161
"4",3,0,"Forced Air","Y",6,3,1910,1990,1960,2,"2006-07-06 00:00:00",671500,2258,"2 Story","Good Quality","Stucco",1,0,5532
"5",1,1,"Hot Water Rad","N",4,2,1920,NA,1964,2,"2016-11-16 00:00:00",846300,1344,"2 Story","Average","Wood Siding",1,1,1840
"6",3,1,"Forced Air","Y",7,4,2014,NA,2015,NA,"2014-09-11 00:00:00",766900,2816,"2 Story","Good Quality","Common Brick",1,1,5565
"7",3,1,"Forced Air","Y",7,4,1905,NA,1964,2.25,"2009-06-23 00:00:00",337500,1758,"2 Story","Average","Vinyl Siding",1,1,2436
"8",3,0,"Forced Air","Y",6,3,1940,2011,1967,2,"2011-12-05 00:00:00",338900,1450,"2 Story","Above Average","Common Brick",1,2,2787
"9",1,1,"Warm Cool","Y",6,2,1941,2003,1964,1.5,"2005-07-07 00:00:00",427100,1492,"1.5 Story Fin","Average","Common Brick",1,1,7126
"10",2,0,"Warm Cool","Y",5,3,1941,2004,1964,2,"2015-12-04 00:00:00",507900,1591,"2 Story","Average","Vinyl Siding",1,1,7876
"11",3,1,"Forced Air","Y",9,4,2013,NA,2015,2,"2013-11-01 00:00:00",729700,2816,"2.5 Story Fin","Good Quality","Common Brick",1,1,3340
"12",3,1,"Forced Air","Y",8,4,2013,NA,2015,2,"2013-04-03 00:00:00",698900,2816,"2.5 Story Fin","Good Quality","Common Brick",1,1,3038
"13",3,1,"Forced Air","Y",8,4,2013,NA,2015,2,"2018-06-19 00:00:00",908200,2788,"2.5 Story Fin","Good Quality","Common Brick",1,1,3634
"14",3,1,"Forced Air","Y",8,4,2013,NA,2015,2,"2013-12-31 00:00:00",743200,2696,"2.5 Story Fin","Good Quality","Common Brick",1,1,4026
"15",2,0,"Forced Air","Y",5,3,1939,2007,1964,2,"2017-09-20 00:00:00",580400,1371,"2 Story","Average","Common Brick",1,1,5026
"16",1,0,"Hot Water Rad","Y",6,3,1925,2014,1964,2,"2014-09-19 00:00:00",582000,1242,"2 Story","Average","Shingle",1,0,1913
"17",1,0,"Hot Water Rad","N",6,3,1900,NA,1954,2,"2000-08-21 00:00:00",120900,1296,"2 Story","Average","Vinyl Siding",1,1,3125
"18",2,1,"Forced Air","Y",6,3,1955,NA,1967,1.5,"1998-05-22 00:00:00",152900,1499,"1.5 Story Fin","Above Average","Common Brick",1,1,3995
"19",1,1,"Hot Water Rad","N",6,3,1939,2012,1954,2,"2012-06-25 00:00:00",299300,1325,"2 Story","Average","Common Brick",1,2,3750
"20",2,0,"Forced Air","Y",6,3,1940,2011,1967,2,"2016-09-12 00:00:00",521300,1242,"2 Story","Above Average","Common Brick",1,1,2916
"21",2,1,"Forced Air","Y",6,3,1905,2015,1964,2,"2014-09-29 00:00:00",582900,1740,"2 Story","Average","Vinyl Siding",1,0,2636
"22",2,1,"Forced Air","Y",7,3,1941,NA,1954,1.5,"2014-10-10 00:00:00",557800,1279,"1.5 Story Fin","Average","Common Brick",1,2,6000
"23",1,0,"Hot Water Rad","N",7,3,1935,NA,1947,2,"2001-09-20 00:00:00",186100,1362,"2 Story","Above Average","Common Brick",1,1,6250
"24",1,2,"Forced Air","Y",8,4,1941,NA,1954,2,"2017-07-21 00:00:00",515100,1450,"2 Story","Average","Common Brick",1,1,7200
"25",1,1,"Forced Air","Y",5,2,1942,2009,1954,1,"2009-08-20 00:00:00",259300,813,"1 Story","Average","Common Brick",1,0,4800
"26",2,0,"Forced Air","Y",7,4,1942,2014,1964,1,"2016-11-22 00:00:00",498100,813,"1 Story","Average","Common Brick",1,0,4800
"27",1,0,"Forced Air","Y",5,2,1942,NA,1943,1,"1994-10-17 00:00:00",114200,813,"1 Story","Average","Common Brick",1,0,4800
"28",1,0,"Forced Air","N",5,2,1942,NA,1943,1,"2007-10-23 00:00:00",302700,813,"1 Story","Average","Common Brick",1,0,4800
"29",1,0,"Warm Cool","Y",5,2,1942,NA,1954,1,"2000-04-17 00:00:00",121100,813,"1 Story","Average","Common Brick",1,0,4800
"30",1,2,"Forced Air","N",6,4,1941,NA,1954,2,"2016-10-12 00:00:00",530600,1531,"2 Story","Average","Common Brick",1,1,6120
"31",2,2,"Forced Air","Y",8,3,1948,NA,1958,2,"2017-05-30 00:00:00",463900,1216,"2 Story","Average","Common Brick",1,1,2700
"32",2,1,"Forced Air","Y",8,5,1900,2006,1984,2.5,"2006-09-12 00:00:00",638000,1766,"2.5 Story Unfin","Very Good","Shingle",1,1,4720
"33",2,1,"Hot Water Rad","N",7,4,1914,NA,1957,2,"2018-05-21 00:00:00",635300,1686,"2 Story","Above Average","Common Brick",1,0,3441
"34",2,0,"Forced Air","Y",6,3,1927,2003,1964,1.5,"2001-09-25 00:00:00",150500,2127,"1.5 Story Fin","Average","Stone/Siding",1,1,6252
"35",2,0,"Hot Water Rad","N",6,2,1929,1962,1947,1.5,"2007-03-13 00:00:00",359700,1207,"1.5 Story Fin","Above Average","Common Brick",1,1,5000
"36",3,1,"Forced Air","Y",6,4,1937,2015,1967,2,"2016-06-02 00:00:00",634600,1824,"2 Story","Above Average","Common Brick",1,1,3051
"37",3,0,"Forced Air","Y",5,4,1939,2014,1964,1,"2014-06-06 00:00:00",547100,1498,"1 Story","Average","Common Brick",1,1,4993
"38",2,1,"Warm Cool","Y",7,3,1955,NA,1955,2,"2002-06-26 00:00:00",210600,1310,"2 Story","Average","Common Brick",1,1,4200
"39",1,1,"Forced Air","Y",8,3,1948,NA,1958,2,"2015-10-05 00:00:00",444800,1664,"2 Story","Average","Common Brick",1,1,3701
"40",3,1,"Forced Air","Y",8,4,2013,NA,2015,3,"2013-04-03 00:00:00",790700,3204,"3 Story","Good Quality","Common Brick",1,1,6035
